date,pm25,pm10,no2
2017/2/7,,27,9
2017/2/8,,37,19
2017/2/9,,59,9
2017/2/10,,36,5
2017/2/11,,29,8
2017/2/12,,34,22
2017/2/13,,48,28
2017/2/14,,61,34
2017/2/15,,67,27
2017/2/16,,59,14
2017/2/17,,32,8
2017/2/18,,19,14
2017/2/19,,25,12
2017/2/20,,25,4
2017/2/21,,3,10
2017/2/22,,8,13
2017/2/23,,18,3
2017/2/24,,7,11
2017/2/25,,15,20
2017/2/26,,21,22
2017/2/27,,34,17
2017/2/28,,26,7
2017/3/1,,5,14
2017/3/2,,8,14
2017/3/3,,19,8
2017/3/4,,16,4
2017/3/5,,5,8
2017/3/6,,10,6
2017/3/7,,12,9
2017/3/8,,19,9
2017/3/9,,8,3
2017/3/10,,5,4
2017/3/11,,15,3
2017/3/12,,20,11
2017/3/13,,32,11
2017/3/14,,30,8
2017/3/15,,36,9
2017/3/16,,32,14
2017/3/17,,32,3
2017/3/18,,13,3
2017/3/19,,5,7
2017/3/20,,9,8
2017/3/21,,13,6
2017/3/22,,15,11
2017/3/23,,32,4
2017/3/24,,23,6
2017/3/25,,22,5
2017/3/26,,13,17
2017/3/27,,30,24
2017/3/28,,33,6
2017/3/29,,22,9
2017/3/30,,19,12
2017/3/31,,23,6
2016/10/1,,28,5
2016/10/2,,15,4
2016/10/3,,5,4
2016/10/4,,7,3
2016/10/5,,5,5
2016/10/6,,4,10
2016/10/7,,19,7
2016/10/8,,16,5
2016/10/9,,14,6
2016/10/10,,12,6
2016/10/11,,16,5
2016/10/12,,7,9
2016/10/13,,20,6
2016/10/14,,22,8
2016/10/15,,24,7
2016/10/16,,25,12
2016/10/17,,37,10
2016/10/18,,27,12
2016/10/19,,27,12
2016/10/20,,7,16
2016/10/21,,19,12
2016/10/22,,19,10
2016/10/23,,22,12
2016/10/24,,37,11
2016/10/25,,21,6
2016/10/26,,18,9
2016/10/27,,28,15
2016/10/28,,41,5
2016/10/29,,10,2
2016/10/30,,9,12
2016/10/31,,17,13
2016/11/1,,18,8
2016/11/2,,14,9
2016/11/3,,15,19
2016/11/4,,37,13
2016/11/5,,35,6
2016/11/6,,13,8
2016/11/7,,16,16
2016/11/8,,23,15
2016/11/9,,30,19
2016/11/10,,25,16
2016/11/11,,32,6
2016/11/12,,23,5
2016/11/13,,14,15
2016/11/14,,32,25
2016/11/15,,49,21
2016/11/16,,37,14
2016/11/17,,47,15
2016/11/18,,38,10
2016/11/19,,20,6
2016/11/20,,8,8
2016/11/21,,22,12
2016/11/22,,27,17
2016/11/23,,50,17
2016/11/24,,48,21
2016/11/25,,48,12
2016/11/26,,53,3
2016/11/27,,9,5
2016/11/28,,9,7
2016/11/29,,13,15
2016/11/30,,26,8
2016/12/1,,16,6
2016/12/2,,8,15
2016/12/3,,17,26
2016/12/4,,37,18
2016/12/5,,45,15
2016/12/6,,27,24
2016/12/7,,41,15
2016/12/8,,48,8
2016/12/9,,11,8
2016/12/10,,8,9
2016/12/11,,12,6
2016/12/12,,9,20
2016/12/13,,35,23
2016/12/14,,39,10
2016/12/15,,13,19
2016/12/16,,38,17
2016/12/17,,39,17
2016/12/18,,34,10
2016/12/19,,31,9
2016/12/20,,22,10
2016/12/21,,27,15
2016/12/22,,30,17
2016/12/23,,31,12
2016/12/24,,23,2
2016/12/25,,4,3
2016/12/26,,6,3
2016/12/27,,7,4
2016/12/28,,4,9
2016/12/29,,12,25
2016/12/30,,22,26
2016/12/31,,31,21
2017/1/1,,75,14
2016/7/1,,8,5
2016/7/2,,11,2
2016/7/3,,8,6
2016/7/4,,10,8
2016/7/5,,14,4
2016/7/6,,11,5
2016/7/7,,9,9
2016/7/8,,16,4
2016/7/9,,12,5
2016/7/10,,16,12
2016/7/11,,20,7
2016/7/12,,8,3
2016/7/13,,8,2
2016/7/14,,3,2
2016/7/15,,8,3
2016/7/16,,7,2
2016/7/17,,11,3
2016/7/18,,8,5
2016/7/19,,10,7
2016/7/20,,13,9
2016/7/21,,19,5
2016/7/22,,18,5
2016/7/23,,16,2
2016/7/24,,17,3
2016/7/25,,17,3
2016/7/26,,14,5
2016/7/27,,29,3
2016/7/28,,11,5
2016/7/29,,12,5
2016/7/30,,9,4
2016/7/31,,10,3
2016/8/1,,10,4
2016/8/2,,8,5
2016/8/3,,10,9
2016/8/4,,24,4
2016/8/5,,9,2
2016/8/6,,12,3
2016/8/7,,11,12
2016/8/8,,13,9
2016/8/9,,15,3
2016/8/10,,9,3
2016/8/11,,8,7
2016/8/12,,8,4
2016/8/13,,6,6
2016/8/14,,7,3
2016/8/15,,12,7
2016/8/16,,16,6
2016/8/17,,17,12
2016/8/18,,18,15
2016/8/19,,19,7
2016/8/20,,17,2
2016/8/21,,8,4
2016/8/22,,8,5
2016/8/23,,8,5
2016/8/24,,12,11
2016/8/25,,19,10
2016/8/26,,17,8
2016/8/27,,23,8
2016/8/28,,37,8
2016/8/29,,25,4
2016/8/30,,10,13
2016/8/31,,16,10
2016/9/1,,15,7
2016/9/2,,16,9
2016/9/3,,16,6
2016/9/4,,15,3
2016/9/5,,5,4
2016/9/6,,8,9
2016/9/7,,23,15
2016/9/8,,31,15
2016/9/9,,25,11
2016/9/10,,24,9
2016/9/11,,28,16
2016/9/12,,38,16
2016/9/13,,38,14
2016/9/14,,33,15
2016/9/15,,37,
2016/9/16,,35,
2016/9/17,,20,
2016/9/18,,4,5
2016/9/19,,10,5
2016/9/20,,23,6
2016/9/21,,13,8
2016/9/22,,12,12
2016/9/23,,15,13
2016/9/24,,16,14
2016/9/25,,23,17
2016/9/26,,30,18
2016/9/27,,33,17
2016/9/28,,31,10
2016/9/29,,21,21
2016/9/30,,21,15
2016/4/1,,21,6
2016/4/2,,20,6
2016/4/3,,21,23
2016/4/4,,40,23
2016/4/5,,50,5
2016/4/6,,19,11
2016/4/7,,18,4
2016/4/8,,13,3
2016/4/9,,11,3
2016/4/10,,16,6
2016/4/11,,20,11
2016/4/12,,36,15
2016/4/13,,32,4
2016/4/14,,13,11
2016/4/15,,21,9
2016/4/16,,13,5
2016/4/17,,11,5
2016/4/18,,11,4
2016/4/19,,14,5
2016/4/20,,13,15
2016/4/21,,31,8
2016/4/22,,22,9
2016/4/23,,19,2
2016/4/24,,10,4
2016/4/25,,9,11
2016/4/26,,11,7
2016/4/27,,9,16
2016/4/28,,18,17
2016/4/29,,20,11
2016/4/30,,14,9
2016/5/1,,21,6
2016/5/2,,26,4
2016/5/3,,19,3
2016/5/4,,6,3
2016/5/5,,13,10
2016/5/6,,17,9
2016/5/7,,19,7
2016/5/8,,14,11
2016/5/9,,20,9
2016/5/10,,21,9
2016/5/11,,24,14
2016/5/12,,22,5
2016/5/13,,4,2
2016/5/14,,13,2
2016/5/15,,11,2
2016/5/16,,7,6
2016/5/17,,12,12
2016/5/18,,17,13
2016/5/19,,21,4
